filename, language, JSON, Markdown, Properties, Ignore, JavaScript React, XML, HTML, SCSS, CSS, comment, blank, total
cms\config\middleware.json, JSON, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
cms\extensions\users-permissions\config\jwt.json, JSON, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
cms\package-lock.json, JSON, 14904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14905
cms\package.json, JSON, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
cms\public\index.html, HTML, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 22, 166
config.json, JSON, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
frontend\.gitignore, Ignore, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
frontend\app.json, JSON, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
frontend\app\.gitignore, Ignore, 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 6, 25
frontend\app\README.md, Markdown, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 32, 69
frontend\app\package-lock.json, JSON, 15244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15245
frontend\app\package.json, JSON, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 63
frontend\app\public\browserconfig.xml, XML, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
frontend\app\public\index.html, HTML, 0, 0, 0, 0, 0, 0, 25, 0, 0, 25, 2, 52
frontend\app\public\manifest.json, JSON, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
frontend\app\public\safari-pinned-tab.svg, XML, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 1, 81
frontend\app\public\site.webmanifest, JSON, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
frontend\app\public\sitemap.xml, XML, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
frontend\app\src\App.js, JavaScript React, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 21, 135
frontend\app\src\App.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 3, 37
frontend\app\src\GlobalLifecycle.js, JavaScript React, 0, 0, 0, 0, 19, 0, 0, 0, 0, 9, 5, 33
frontend\app\src\Pages\AnimatedPage\index.js, JavaScript React, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 4, 35
frontend\app\src\Pages\Challenges\index.js, JavaScript React, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 7, 55
frontend\app\src\Pages\Challenges\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
